concept_id,code,codetype,descrip
1409193,E11.9,DX10,Type 2 diabetes mellitus without complications
35206882,E11.9,DX10,Type 2 diabetes mellitus without complications
35918915,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
35949879,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
37082044,E11.21,DX10,Type 2 diabetes mellitus with diabetic nephropathy
37082049,E11.40,DX10,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
37082068,E11.9,DX10,Type 2 diabetes mellitus without complications
37221913,E11.40,DX10,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
37610278,E11.9,DX10,Type 2 diabetes mellitus without complications
38000548,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
38001090,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
38001091,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
42486006,E11.21,DX10,Type 2 diabetes mellitus with diabetic nephropathy
42486007,E11.22,DX10,Type 2 diabetes mellitus with diabetic chronic kidney disease
42486016,E11.40,DX10,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
42486018,E11.42,DX10,Type 2 diabetes mellitus with diabetic polyneuropathy
42486037,E11.9,DX10,Type 2 diabetes mellitus without complications
43251620,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
44508738,E11.9,DX10,Type 2 diabetes mellitus without complications
44819503,250.8,DX09,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
44820685,250.9,DX09,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled"
44824072,250.12,DX09,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
44824073,250.22,DX09,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
44824074,250.4,DX09,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
44826459,250.2,DX09,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled"
44826461,250.82,DX09,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
44827615,250.6,DX09,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolle"
44828793,250.1,DX09,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled"
44828794,250.5,DX09,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
44829879,250.52,DX09,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
44829880,250.7,DX09,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
44829882,250.92,DX09,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled"
44832193,250.32,DX09,"Diabetes with other coma, type II or unspecified type, uncontrolled"
44832194,250.42,DX09,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
44833365,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
44833366,250.62,DX09,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
44833367,250.72,DX09,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
44836917,250.3,DX09,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolle"
45410291,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
45547626,E11.620,DX10,Type 2 diabetes mellitus with diabetic dermatitis
45557113,E11.42,DX10,Type 2 diabetes mellitus with diabetic polyneuropathy
45561949,E11.641,DX10,Type 2 diabetes mellitus with hypoglycemia with coma
45561952,E11.9,DX10,Type 2 diabetes mellitus without complications
45581353,E11.319,DX10,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
45591027,E11.21,DX10,Type 2 diabetes mellitus with diabetic nephropathy
45595797,E11.22,DX10,Type 2 diabetes mellitus with diabetic chronic kidney disease
45605403,E11.40,DX10,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
45605404,E11.49,DX10,Type 2 diabetes mellitus with other diabetic neurological complication
45605405,E11.65,DX10,Type 2 diabetes mellitus with hyperglycemia
45947086,250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
