concept_id,code,codetype,descrip
747296,2670443,PR00,sitagliptin 100 MG [Zituvio]
747297,2670444,PR00,Zituvio Oral Product
747298,2670445,PR00,Zituvio Pill
747299,2670446,PR00,sitagliptin Oral Tablet [Zituvio]
747300,2670447,PR00,sitagliptin 100 MG Oral Tablet [Zituvio]
747301,2670448,PR00,sitagliptin 25 MG [Zituvio]
747302,2670449,PR00,sitagliptin 25 MG Oral Tablet [Zituvio]
747303,2670450,PR00,sitagliptin 50 MG [Zituvio]
747304,2670451,PR00,sitagliptin 50 MG Oral Tablet [Zituvio]
747680,2644768,PR00,"{9 (insulin, regular, human 12 UNT Inhalation Powder) / 9 (insulin, regular, human 4 UNT Inhalation Powder) / 9 (insulin, regular, human 8 UNT Inhalation Powder) } Pack"
747681,2644769,PR00,"{9 (insulin, regular, human 12 UNT Inhalation Powder [Afrezza]) / 9 (insulin, regular, human 4 UNT Inhalation Powder [Afrezza]) / 9 (insulin, regular, human 8 UNT Inhalation Powder [Afrezza]) } Pack [Afrezza Sample Pack]"
793293,1992672,PR00,ertugliflozin
793296,1992680,PR00,ertugliflozin 2.5 MG
793297,1992681,PR00,ertugliflozin / metformin Oral Product
793298,1992682,PR00,ertugliflozin / metformin Pill
793299,1992683,PR00,ertugliflozin / metformin Oral Tablet
793300,1992685,PR00,ertugliflozin 2.5 MG / metformin hydrochloride 1000 MG Oral Tablet
793302,1992687,PR00,ertugliflozin 2.5 MG / metformin hydrochloride 1000 MG [Segluromet]
793303,1992688,PR00,ertugliflozin / metformin Oral Tablet [Segluromet]
793304,1992689,PR00,Segluromet Oral Product
793305,1992690,PR00,Segluromet Pill
793306,1992691,PR00,ertugliflozin 2.5 MG / metformin hydrochloride 1000 MG Oral Tablet [Segluromet]
793307,1992693,PR00,ertugliflozin 2.5 MG / metformin hydrochloride 500 MG Oral Tablet
793308,1992694,PR00,ertugliflozin 2.5 MG / metformin hydrochloride 500 MG [Segluromet]
793309,1992695,PR00,ertugliflozin 2.5 MG / metformin hydrochloride 500 MG Oral Tablet [Segluromet]
793310,1992697,PR00,ertugliflozin 7.5 MG
793311,1992698,PR00,ertugliflozin 7.5 MG / metformin hydrochloride 1000 MG Oral Tablet
793312,1992699,PR00,ertugliflozin 7.5 MG / metformin hydrochloride 1000 MG [Segluromet]
793313,1992700,PR00,ertugliflozin 7.5 MG / metformin hydrochloride 1000 MG Oral Tablet [Segluromet]
793314,1992701,PR00,ertugliflozin 7.5 MG / metformin hydrochloride 500 MG Oral Tablet
793315,1992702,PR00,ertugliflozin 7.5 MG / metformin hydrochloride 500 MG [Segluromet]
793316,1992703,PR00,ertugliflozin 7.5 MG / metformin hydrochloride 500 MG Oral Tablet [Segluromet]
793317,1992806,PR00,ertugliflozin 5 MG
793318,1992807,PR00,ertugliflozin Oral Product
793319,1992808,PR00,ertugliflozin Pill
793320,1992809,PR00,ertugliflozin Oral Tablet
793321,1992810,PR00,ertugliflozin 5 MG Oral Tablet
793323,1992812,PR00,ertugliflozin 5 MG [Steglatro]
793324,1992813,PR00,ertugliflozin Oral Tablet [Steglatro]
793325,1992814,PR00,Steglatro Oral Product
793326,1992815,PR00,Steglatro Pill
793327,1992816,PR00,ertugliflozin 5 MG Oral Tablet [Steglatro]
793328,1992818,PR00,ertugliflozin 15 MG
793329,1992819,PR00,ertugliflozin 15 MG Oral Tablet
793330,1992820,PR00,ertugliflozin 15 MG [Steglatro]
793331,1992821,PR00,ertugliflozin 15 MG Oral Tablet [Steglatro]
793332,1992822,PR00,ertugliflozin / sitagliptin Oral Product
793333,1992823,PR00,ertugliflozin / sitagliptin Pill
793334,1992824,PR00,ertugliflozin / sitagliptin Oral Tablet
793335,1992826,PR00,ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet
793337,1992828,PR00,ertugliflozin 15 MG / sitagliptin 100 MG [Steglujan]
793338,1992829,PR00,ertugliflozin / sitagliptin Oral Tablet [Steglujan]
793339,1992830,PR00,Steglujan Oral Product
793340,1992831,PR00,Steglujan Pill
793341,1992832,PR00,ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet [Steglujan]
793342,1992835,PR00,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet
793343,1992836,PR00,ertugliflozin 5 MG / sitagliptin 100 MG [Steglujan]
793344,1992837,PR00,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan]
793825,1940495,PR00,dapagliflozin 2.5 MG
793826,1940496,PR00,24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
793827,1940497,PR00,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG [Xigduo]
793828,1940498,PR00,24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Xigduo]
793829,1940499,PR00,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
793830,1940500,PR00,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Xigduo]
1145898,2371722,PR00,dapagliflozin / metformin / saxagliptin Oral Product
1145899,2371723,PR00,dapagliflozin / metformin / saxagliptin Pill
1145900,2371724,PR00,dapagliflozin / metformin / saxagliptin Extended Release Oral Tablet
1145902,2371727,PR00,dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG [Qternmet]
1145903,2371728,PR00,dapagliflozin / metformin / saxagliptin Extended Release Oral Tablet [Qternmet]
1145904,2371729,PR00,Qternmet Oral Product
1145905,2371730,PR00,Qternmet Pill
1145906,2371732,PR00,dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet
1145907,2371733,PR00,dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet]
1145908,2371735,PR00,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG [Qternmet]
1145909,2371737,PR00,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet
1145910,2371738,PR00,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet]
1145911,2371741,PR00,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG [Qternmet]
1145912,2371743,PR00,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet
1145913,2371744,PR00,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet]
1145914,2371746,PR00,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG [Qternmet]
1145915,2371748,PR00,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet
1145916,2371749,PR00,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet]
1146738,2371725,PR00,24 HR dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet
1146739,2371731,PR00,24 HR dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet]
1146740,2371734,PR00,24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet
1146741,2371736,PR00,24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet]
1146742,2371740,PR00,24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet
1146743,2371742,PR00,24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet]
1146744,2371745,PR00,24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet
1146745,2371747,PR00,24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet]
1356241,2108525,PR00,"insulin, regular, human Inhalation Powder"
1356242,2108527,PR00,"insulin, regular, human Inhalation Powder [Afrezza]"
1361258,2179742,PR00,"insulin, regular, human 1 UNT/ML"
1361259,2179743,PR00,"insulin, regular, human Injection"
1361261,2179746,PR00,"insulin, regular, human 1 UNT/ML [Myxredlin]"
1361262,2179747,PR00,"insulin, regular, human Injection [Myxredlin]"
1361263,2179748,PR00,Myxredlin Injectable Product
1361264,2179750,PR00,"insulin, regular, human 1 UNT/ML Injection"
1361265,2179751,PR00,"insulin, regular, human 1 UNT/ML Injection [Myxredlin]"
1361675,2179744,PR00,"100 ML insulin, regular, human 1 UNT/ML Injection"
1361676,2179749,PR00,"100 ML insulin, regular, human 1 UNT/ML Injection [Myxredlin]"
1396414,2169274,PR00,dapagliflozin 5 MG / saxagliptin 5 MG Oral Tablet
1396415,2169275,PR00,dapagliflozin 5 MG / saxagliptin 5 MG [Qtern]
1396416,2169276,PR00,dapagliflozin 5 MG / saxagliptin 5 MG Oral Tablet [Qtern]
1503297,6809,PR00,metformin
1503327,316255,PR00,metformin 1000 MG
1503328,316256,PR00,metformin 500 MG
1510202,30009,PR00,miglitol
1510206,213485,PR00,miglitol 25 MG Oral Tablet [Glyset]
1510207,213486,PR00,miglitol 50 MG Oral Tablet [Glyset]
1510208,213487,PR00,miglitol 100 MG Oral Tablet [Glyset]
1525215,33738,PR00,pioglitazone
1525216,261266,PR00,pioglitazone 15 MG Oral Tablet [Actos]
1525217,261267,PR00,pioglitazone 30 MG Oral Tablet [Actos]
1525218,261268,PR00,pioglitazone 45 MG Oral Tablet [Actos]
1525220,312441,PR00,pioglitazone 45 MG Oral Tablet
1525221,317573,PR00,pioglitazone 15 MG Oral Tablet
1525242,331478,PR00,pioglitazone 30 MG
1525243,332435,PR00,pioglitazone 15 MG
1525244,332436,PR00,pioglitazone 45 MG
1529331,16681,PR00,acarbose
1529352,199149,PR00,acarbose 50 MG Oral Tablet
1529358,315246,PR00,acarbose 100 MG
1529359,315247,PR00,acarbose 25 MG
1529360,315248,PR00,acarbose 50 MG
1547504,84108,PR00,rosiglitazone
1547505,261241,PR00,rosiglitazone 2 MG Oral Tablet [Avandia]
1547506,261242,PR00,rosiglitazone 4 MG Oral Tablet [Avandia]
1547507,261243,PR00,rosiglitazone 8 MG Oral Tablet [Avandia]
1547508,312859,PR00,rosiglitazone 2 MG Oral Tablet
1547510,312861,PR00,rosiglitazone 8 MG Oral Tablet
1547554,358499,PR00,rosiglitazone 4 MG
1559684,4815,PR00,glyburide
1559685,197737,PR00,glyburide 1.25 MG Oral Tablet
1559728,261351,PR00,glyburide 4.5 MG Oral Tablet [Glycron]
1559729,261974,PR00,glyburide 3 MG Oral Tablet [Glycron]
1559760,315987,PR00,glyburide 1.25 MG
1559761,315988,PR00,glyburide 1.5 MG
1559782,315989,PR00,glyburide 2.5 MG
1559784,315991,PR00,glyburide 5 MG
1559785,315992,PR00,glyburide 6 MG
1559786,331496,PR00,glyburide 4.5 MG
1560004,2049379,PR00,"insulin isophane / insulin, regular, human Pen Injector [Novolin]"
1560005,2049381,PR00,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector [Novolin]"
1560168,2049380,PR00,"3 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector [Novolin]"
1560171,4821,PR00,glipizide
1560233,317379,PR00,glipizide 10 MG
1580747,593411,PR00,sitagliptin
1592314,1925495,PR00,dapagliflozin / saxagliptin Oral Product
1592315,1925496,PR00,dapagliflozin / saxagliptin Pill
1592316,1925497,PR00,dapagliflozin / saxagliptin Oral Tablet
1592317,1925498,PR00,dapagliflozin 10 MG / saxagliptin 5 MG Oral Tablet
1592319,1925500,PR00,dapagliflozin 10 MG / saxagliptin 5 MG [Qtern]
1592320,1925501,PR00,dapagliflozin / saxagliptin Oral Tablet [Qtern]
1592321,1925502,PR00,Qtern Oral Product
1592322,1925503,PR00,Qtern Pill
1592323,1925504,PR00,dapagliflozin 10 MG / saxagliptin 5 MG Oral Tablet [Qtern]
1592652,1862684,PR00,empagliflozin / metformin Extended Release Oral Tablet
1592653,1862685,PR00,24 HR empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592654,1862686,PR00,empagliflozin 10 MG / metformin hydrochloride 1000 MG [Synjardy]
1592655,1862687,PR00,empagliflozin / metformin Extended Release Oral Tablet [Synjardy]
1592656,1862688,PR00,24 HR empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592657,1862689,PR00,empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592793,1862690,PR00,empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592794,1862691,PR00,24 HR empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592795,1862692,PR00,24 HR empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592796,1862693,PR00,empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592797,1862694,PR00,empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592798,1862695,PR00,24 HR empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592799,1862696,PR00,empagliflozin 25 MG / metformin hydrochloride 1000 MG [Synjardy]
1592800,1862697,PR00,24 HR empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592801,1862698,PR00,empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592802,1862699,PR00,empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592803,1862700,PR00,24 HR empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592804,1862701,PR00,24 HR empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1592805,1862702,PR00,empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
1592806,1862703,PR00,empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]
1596916,213442,PR00,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Novolin]"
1596917,245264,PR00,"insulin isophane, human 85 UNT/ML / insulin, regular, human 15 UNT/ML Injectable Suspension"
1596918,245265,PR00,"insulin isophane, human 50 UNT/ML / insulin, regular, human 50 UNT/ML Injectable Suspension"
1596919,247511,PR00,"insulin isophane, human 90 UNT/ML / insulin, regular, human 10 UNT/ML Injectable Suspension"
1596920,247512,PR00,"insulin isophane, human 80 UNT/ML / insulin, regular, human 20 UNT/ML Injectable Suspension"
1596921,247513,PR00,"insulin isophane, human 60 UNT/ML / insulin, regular, human 40 UNT/ML Injectable Suspension"
1596956,847187,PR00,"3 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector"
1596957,847189,PR00,"3 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector [Humulin]"
1596972,847256,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe"
1596973,847257,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe [Novolin]"
1596976,847343,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe [Humulin]"
1596977,253182,PR00,"insulin, regular, human"
1596998,343258,PR00,"insulin, regular, human 50 UNT/ML"
1596999,351859,PR00,"insulin, regular, human 500 UNT/ML Injectable Solution [Humulin R]"
1597000,359125,PR00,"insulin, regular, human 15 UNT/ML"
1597001,359126,PR00,"insulin, regular, human 10 UNT/ML"
1597012,359127,PR00,"insulin, regular, human 20 UNT/ML"
1597756,25789,PR00,glimepiride
1597757,153591,PR00,glimepiride 2 MG Oral Tablet [Amaryl]
1597758,153842,PR00,glimepiride 3 MG Oral Tablet
1597759,153843,PR00,glimepiride 1 MG Oral Tablet [Amaryl]
1597760,153845,PR00,glimepiride 4 MG Oral Tablet [Amaryl]
1597761,199245,PR00,glimepiride 1 MG Oral Tablet
