concept_id,code,codetype,descrip
372636,2589008,PR00,3 ML insulin glargine-aglr 100 UNT/ML Pen Injector
701381,2563970,PR00,insulin glargine-yfgn 100 UNT/ML
701382,2563972,PR00,insulin glargine-yfgn 100 UNT/ML [Semglee]
701383,2563974,PR00,insulin glargine-yfgn 100 UNT/ML Pen Injector
701384,2563975,PR00,insulin glargine-yfgn 100 UNT/ML Pen Injector [Semglee]
701385,2563976,PR00,insulin glargine-yfgn 100 UNT/ML Injectable Solution
701386,2563977,PR00,insulin glargine-yfgn 100 UNT/ML Injectable Solution [Semglee]
702583,2563971,PR00,3 ML insulin glargine-yfgn 100 UNT/ML Pen Injector
702584,2563973,PR00,3 ML insulin glargine-yfgn 100 UNT/ML Pen Injector [Semglee]
741831,2619151,PR00,semaglutide 0.68 MG/ML
741832,2619152,PR00,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector"
741833,2619153,PR00,semaglutide 0.68 MG/ML [Ozempic]
741834,2619154,PR00,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]"
746313,2644395,PR00,tirzepatide Injection
746314,2644397,PR00,tirzepatide 15 MG/ML Injection
746315,2644398,PR00,tirzepatide Injection [Mounjaro]
746316,2644400,PR00,tirzepatide 15 MG/ML Injection [Mounjaro]
746317,2644402,PR00,tirzepatide 10 MG/ML Injection
746318,2644404,PR00,tirzepatide 10 MG/ML Injection [Mounjaro]
746319,2644406,PR00,tirzepatide 5 MG/ML Injection
746320,2644408,PR00,tirzepatide 5 MG/ML Injection [Mounjaro]
746321,2644410,PR00,tirzepatide 30 MG/ML Injection
746322,2644412,PR00,tirzepatide 30 MG/ML Injection [Mounjaro]
746323,2644414,PR00,tirzepatide 25 MG/ML Injection
746324,2644416,PR00,tirzepatide 25 MG/ML Injection [Mounjaro]
746325,2644418,PR00,tirzepatide 20 MG/ML Injection
746326,2644420,PR00,tirzepatide 20 MG/ML Injection [Mounjaro]
747139,2669703,PR00,tirzepatide 5 MG/ML [Zepbound]
747140,2669704,PR00,Zepbound Injectable Product
747141,2669705,PR00,tirzepatide Auto-Injector [Zepbound]
747142,2669707,PR00,tirzepatide 5 MG/ML Auto-Injector [Zepbound]
747143,2669708,PR00,tirzepatide 10 MG/ML [Zepbound]
747144,2669710,PR00,tirzepatide 10 MG/ML Auto-Injector [Zepbound]
747145,2669711,PR00,tirzepatide 15 MG/ML [Zepbound]
747146,2669713,PR00,tirzepatide 15 MG/ML Auto-Injector [Zepbound]
747147,2669714,PR00,tirzepatide 20 MG/ML [Zepbound]
747148,2669716,PR00,tirzepatide 20 MG/ML Auto-Injector [Zepbound]
747149,2669717,PR00,tirzepatide 25 MG/ML [Zepbound]
747150,2669719,PR00,tirzepatide 25 MG/ML Auto-Injector [Zepbound]
747151,2669720,PR00,tirzepatide 30 MG/ML [Zepbound]
747152,2669722,PR00,tirzepatide 30 MG/ML Auto-Injector [Zepbound]
747773,2644396,PR00,0.5 ML tirzepatide 15 MG/ML Injection
747774,2644399,PR00,0.5 ML tirzepatide 15 MG/ML Injection [Mounjaro]
747775,2644401,PR00,0.5 ML tirzepatide 10 MG/ML Injection
747776,2644403,PR00,0.5 ML tirzepatide 10 MG/ML Injection [Mounjaro]
747777,2644405,PR00,0.5 ML tirzepatide 5 MG/ML Injection
747778,2644407,PR00,0.5 ML tirzepatide 5 MG/ML Injection [Mounjaro]
747779,2644409,PR00,0.5 ML tirzepatide 30 MG/ML Injection
747780,2644411,PR00,0.5 ML tirzepatide 30 MG/ML Injection [Mounjaro]
747781,2644413,PR00,0.5 ML tirzepatide 25 MG/ML Injection
747782,2644415,PR00,0.5 ML tirzepatide 25 MG/ML Injection [Mounjaro]
747783,2644417,PR00,0.5 ML tirzepatide 20 MG/ML Injection
747784,2644419,PR00,0.5 ML tirzepatide 20 MG/ML Injection [Mounjaro]
747888,2669706,PR00,0.5 ML tirzepatide 5 MG/ML Auto-Injector [Zepbound]
747889,2669709,PR00,0.5 ML tirzepatide 10 MG/ML Auto-Injector [Zepbound]
747890,2669712,PR00,0.5 ML tirzepatide 15 MG/ML Auto-Injector [Zepbound]
747891,2669715,PR00,0.5 ML tirzepatide 20 MG/ML Auto-Injector [Zepbound]
747892,2669718,PR00,0.5 ML tirzepatide 25 MG/ML Auto-Injector [Zepbound]
747893,2669721,PR00,0.5 ML tirzepatide 30 MG/ML Auto-Injector [Zepbound]
779478,2599361,PR00,semaglutide 2.68 MG/ML
779479,2599363,PR00,semaglutide 2.68 MG/ML Pen Injector
779480,2599364,PR00,semaglutide 2.68 MG/ML [Ozempic]
779481,2599366,PR00,semaglutide 2.68 MG/ML Pen Injector [Ozempic]
779705,2601723,PR00,tirzepatide
779710,2601730,PR00,tirzepatide Injectable Product
779711,2601731,PR00,tirzepatide Auto-Injector
779713,2601736,PR00,Mounjaro Injectable Product
779714,2601737,PR00,tirzepatide Auto-Injector [Mounjaro]
779717,2601742,PR00,tirzepatide 10 MG/ML
