codetype,table,pcornet_vocab_type
DX09,diagnosis,09
DX10,diagnosis,10
DX11,diagnosis,11
DXSM,diagnosis,SM
RX01,medication,
RX11,medication,
RX09,medication,
PX09,procedures,09
PX10,procedures,10
PX11,procedures,11
PXCH,procedures,CH
PXLC,procedures,LC
PXND,procedures,ND
PXRE,procedures,RE
PR00,medication,
LBLC,lab_result_cm,LC
LBCH,lab_result_cm,CH
LB09,lab_result_cm,09
LB10,lab_result_cm,10
LB11,lab_result_cm,11
MA09,medication,
MA11,medication,
MA00,medication,
OCSM,obs_clin,
OCLC,obs_clin,
VXCX,immunization,CX
VXND,immunization,ND
VXCH,immunization,CH
VXRX,immunization,RX
DTH,death,
