concept_id,concept_code,concept_name,vocabulary_id
45576344,C81,Hodgkin lymphoma,10
45586030,C81.0,Nodular lymphocyte predominant Hodgkin lymphoma,10
45547530,C81.1,Nodular sclerosis classical Hodgkin lymphoma,10
45566622,C81.2,Mixed cellularity classical Hodgkin lymphoma,10
45571545,C81.3,Lymphocyte depleted classical Hodgkin lymphoma,10
45547532,C81.4,Lymphocyte-rich (classical) Hodgkin lymphoma,10
45552293,C81.7,Other classical Hodgkin lymphoma,10
45581232,C81.9,"Hodgkin lymphoma, unspecified",10
40475037,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",10
44826424,201.94,"Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb",09
1567633,C81,Hodgkin lymphoma,10
1567634,C81.0,Nodular lymphocyte predominant Hodgkin lymphoma,10
45581228,C81.00,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",10
45557019,C81.01,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",10
45552290,C81.02,"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",10
45561837,C81.03,"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",10
45566621,C81.04,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",10
45590928,C81.05,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",10
45561838,C81.06,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",10
45600535,C81.07,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen",10
45595694,C81.08,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",10
45542634,C81.09,"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",10
1567635,C81.1,Nodular sclerosis Hodgkin lymphoma,10
45581229,C81.10,"Nodular sclerosis Hodgkin lymphoma, unspecified site",10
45561839,C81.11,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",10
45581230,C81.12,"Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes",10
45542635,C81.13,"Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes",10
45532942,C81.14,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",10
45576345,C81.15,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",10
45537846,C81.16,"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",10
45600536,C81.17,"Nodular sclerosis Hodgkin lymphoma, spleen",10
45537847,C81.18,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",10
45586031,C81.19,"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites",10
1567636,C81.2,Mixed cellularity Hodgkin lymphoma,10
45590929,C81.20,"Mixed cellularity Hodgkin lymphoma, unspecified site",10
45552291,C81.21,"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",10
44828752,201.26,"Hodgkin's sarcoma, intrapelvic lymph nodes",09
44829832,201.27,"Hodgkin's sarcoma, spleen",09
44826422,201.28,"Hodgkin's sarcoma, lymph nodes of multiple sites",09
44834507,201.4,"Hodgkin's disease, lymphocytic-histiocytic predominance",09
44829833,201.40,"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites",09
44830999,201.41,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck",09
44821746,201.42,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrathoracic lymph nodes",09
44834508,201.43,"Hodgkin's disease, lymphocytic-histiocytic predominance, intra-abdominal lymph nodes",09
44833320,201.44,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of axilla and upper limb",09
44827576,201.45,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb",09
44825223,201.46,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes",09
44836863,201.47,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen",09
44825224,201.48,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites",09
44832142,201.5,"Hodgkin's disease, nodular sclerosis",09
44826423,201.50,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites",09
44835699,201.51,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck",09
44829834,201.52,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes",09
44835700,201.53,"Hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes",09
44836864,201.54,"Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb",09
44833321,201.55,"Hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb",09
44835701,201.56,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes",09
44829835,201.57,"Hodgkin's disease, nodular sclerosis, spleen",09
44821747,201.58,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites",09
44819454,201.6,"Hodgkin's disease, mixed cellularity",09
44820632,201.60,"Hodgkin's disease, mixed cellularity, unspecified site, extranodal and solid organ sites",09
44819455,201.61,"Hodgkin's disease, mixed cellularity, lymph nodes of head, face, and neck",09
44819456,201.62,"Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes",09
44824045,201.63,"Hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes",09
44834509,201.64,"Hodgkin's disease, mixed cellularity, lymph nodes of axilla and upper limb",09
44833322,201.65,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb",09
44820633,201.66,"Hodgkin's disease, mixed cellularity, intrapelvic lymph nodes",09
44832143,201.67,"Hodgkin's disease, mixed cellularity, spleen",09
44834510,201.68,"Hodgkin's disease, mixed cellularity, lymph nodes of multiple sites",09
44820634,201.7,"Hodgkin's disease, lymphocytic depletion",09
44832144,201.70,"Hodgkin's disease, lymphocytic depletion, unspecified site, extranodal and solid organ sites",09
44829836,201.71,"Hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck",09
45605292,C81.22,"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",10
45571544,C81.23,"Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes",10
45605293,C81.24,"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",10
45537848,C81.25,"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",10
45552292,C81.26,"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",10
45605294,C81.27,"Mixed cellularity Hodgkin lymphoma, spleen",10
45566623,C81.28,"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",10
45576346,C81.29,"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",10
1567637,C81.3,Lymphocyte depleted Hodgkin lymphoma,10
45576347,C81.30,"Lymphocyte depleted Hodgkin lymphoma, unspecified site",10
45566624,C81.31,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",10
45537849,C81.32,"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",10
