code,codetype,descrip,category
43770,PXCH,"Laparoscopy, surgical, gastric restrictive procedure; placement of adjustable gastric restrictive device (eg, gastric band and subcutaneous port components)",Adjustable Gastric Band
43644,PXCH,"Laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and Roux-en-Y gastroenterostomy (roux limb 150 cm or less)",One-anastomosis gastric bypass
43775,PXCH,"Laparoscopy, surgical, gastric restrictive procedure; longitudinal gastrectomy (ie, sleeve gastrectomy)",Bariatric surgery procedures
43845,PXCH,"Gastric restrictive procedure with partial gastrectomy, pylorus-preserving duodenoileostomy and ileoileostomy (50 to 100 cm common channel) to limit absorption (biliopancreatic diversion with duodenal switch)",Biliopancreatic diversion with duodenal switch
43775,PXCH,"Laparoscopy, surgical, gastric restrictive procedure; longitudinal gastrectomy (ie, sleeve gastrectomy)",Endoscopic sleeve gastroplasty
43846,PXCH,"Gastric restrictive procedure, with gastric bypass for morbid obesity; with short limb (150 cm or less) Roux-en-Y gastroenterostomy",Roux-en-Y gastric bypass
43847,PXCH,"Gastric restrictive procedure, with gastric bypass for morbid obesity; with small intestine reconstruction to limit absorption",Roux-en-Y gastric bypass
43290,PXCH,"Esophagogastroduodenoscopy, flexible, transoral; with deployment of intragastric bariatric balloon",Intragastric balloons
43291,PXCH,"Esophagogastroduodenoscopy, flexible, transoral; with removal of intragastric bariatric balloon(s)",Intragastric balloons
43842,PXCH,"Gastric restrictive procedure, without gastric bypass, for morbid obesity; vertical-banded gastroplasty",Sleeve gastrectomy
