"concept_id","concept_name","concept_code","vocabulary_id"
724685,"Quantitative magnetic resonance image (MRI) analysis of the brain with comparison to prior magnetic resonance (MR) study(ies), including lesion identification, characterization, and quantification, with brain volume(s) quantification and/or severity score","0865T","CPT4"
724686,"Quantitative magnetic resonance image (MRI) analysis of the brain with comparison to prior magnetic resonance (MR) study(ies), including lesion detection, characterization, and quantification, with brain volume(s) quantification and/or severity score, whe","0866T","CPT4"
1389671,"Laser interstitial thermal therapy (LITT) of lesion, intracranial, including burr hole(s), with magnetic resonance imaging guidance, when performed","1036724","CPT4"
1389720,"Laser interstitial thermal therapy (LITT) of lesion, intracranial, including burr hole(s), with magnetic resonance imaging guidance, when performed; single trajectory for 1 simple lesion","61736","CPT4"
1389721,"Laser interstitial thermal therapy (LITT) of lesion, intracranial, including burr hole(s), with magnetic resonance imaging guidance, when performed; multiple trajectories for multiple or complex lesion(s)","61737","CPT4"
2106371,"CT or MRI of the brain performed in the hospital within 24 hours of arrival or performed in an outpatient imaging center, to confirm initial diagnosis of stroke, TIA or intracranial hemorrhage (STR)","3111F","CPT4"
2106382,"CT or MRI of the brain performed greater than 24 hours after arrival to the hospital or performed in an outpatient imaging center for purpose other than confirmation of initial diagnosis of stroke, TIA, or intracranial hemorrhage (STR)","3112F","CPT4"
2110542,"Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion; with computed tomography and/or magnetic resonance guidance","61751","CPT4"
2211342,"Magnetic resonance angiography, head and/or neck, with or without contrast material(s) (Deprecated)","70541","CPT4"
2211345,"Magnetic resonance angiography, head; without contrast material(s)","70544","CPT4"
2211346,"Magnetic resonance angiography, head; with contrast material(s)","70545","CPT4"
2211347,"Magnetic resonance angiography, head; without contrast material(s), followed by contrast material(s) and further sequences","70546","CPT4"
2211351,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material","70551","CPT4"
2211352,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); with contrast material(s)","70552","CPT4"
2211353,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material, followed by contrast material(s) and further sequences","70553","CPT4"
2211354,"Magnetic resonance imaging, brain, functional MRI; including test selection and administration of repetitive body part movement and/or visual stimulation, not requiring physician or psychologist administration","70554","CPT4"
2211355,"Magnetic resonance imaging, brain, functional MRI; requiring physician or psychologist administration of entire neurofunctional testing","70555","CPT4"
2211356,"Magnetic resonance (eg, proton) imaging, brain (including brain stem and skull base), during open intracranial procedure (eg, to assess for residual tumor or residual vascular malformation); without contrast material","70557","CPT4"
2211357,"Magnetic resonance (eg, proton) imaging, brain (including brain stem and skull base), during open intracranial procedure (eg, to assess for residual tumor or residual vascular malformation); with contrast material(s)","70558","CPT4"
2211358,"Magnetic resonance (eg, proton) imaging, brain (including brain stem and skull base), during open intracranial procedure (eg, to assess for residual tumor or residual vascular malformation); without contrast material(s), followed by contrast material(s) a","70559","CPT4"
42628583,"Magnetic resonance image guided high intensity focused ultrasound (MRgFUS), stereotactic ablation lesion, intracranial for movement disorder including stereotactic navigation and frame placement when performed","0398T","CPT4"
45887655,"Magnetic resonance imaging, brain, functional MRI","1014877","CPT4"
45888645,"Magnetic resonance (eg, proton) imaging, brain (including brain stem and skull base), during open intracranial procedure (eg, to assess for residual tumor or residual vascular malformation)","1010330","CPT4"
45889237,"Magnetic resonance (eg, proton) imaging, brain (including brain stem)","1010326","CPT4"
45889763,"Magnetic resonance angiography, head","1010318","CPT4"
915658,"Advanced brain imaging (cta, ct, mra or mri) was not ordered (Deprecated)","G9534","HCPCS"
915662,"Advanced brain imaging (cta, ct, mra or mri) was ordered (Deprecated)","G9538","HCPCS"
953341,"Imaging of the head (ct or mri) was not obtained, reason not given","M1029","HCPCS"
953342,"Documentation of patients with primary headache diagnosis and imaging other than ct or mri obtained","M1028","HCPCS"
953343,"Imaging of the head (ct or mri) was obtained","M1027","HCPCS"
45754755,"Advanced imaging - MRI/MRA: brain/head/neck","I2C","HCPCS"
2786171,"Magnetic Resonance Imaging (MRI) of Cerebral and Cerebellar Veins using Other Contrast, Unenhanced and Enhanced","B531Y0Z","ICD10PCS"
2786172,"Magnetic Resonance Imaging (MRI) of Cerebral and Cerebellar Veins using Other Contrast","B531YZZ","ICD10PCS"
2786360,"Magnetic Resonance Imaging (MRI) of Cerebral and Cerebellar Veins","B531ZZZ","ICD10PCS"
2786361,"Magnetic Resonance Imaging (MRI) of Intracranial Sinuses using Other Contrast, Unenhanced and Enhanced","B532Y0Z","ICD10PCS"
2786362,"Magnetic Resonance Imaging (MRI) of Intracranial Sinuses using Other Contrast","B532YZZ","ICD10PCS"
2786363,"Magnetic Resonance Imaging (MRI) of Intracranial Sinuses","B532ZZZ","ICD10PCS"
2787373,"Magnetic Resonance Imaging (MRI) of Intracranial Arteries using Other Contrast, Unenhanced and Enhanced","B33RY0Z","ICD10PCS"
2787374,"Magnetic Resonance Imaging (MRI) of Intracranial Arteries using Other Contrast","B33RYZZ","ICD10PCS"
2787375,"Magnetic Resonance Imaging (MRI) of Intracranial Arteries","B33RZZZ","ICD10PCS"
2788799,"Computer Assisted Procedure of Head and Neck Region, With Magnetic Resonance Imaging","8E09XBH","ICD10PCS"
2789359,"Magnetic Resonance Imaging (MRI) of Brain using Other Contrast, Unenhanced and Enhanced","B030Y0Z","ICD10PCS"
2789360,"Magnetic Resonance Imaging (MRI) of Brain using Other Contrast","B030YZZ","ICD10PCS"
2789361,"Magnetic Resonance Imaging (MRI) of Brain","B030ZZZ","ICD10PCS"
2792520,"Magnetic Resonance Imaging (MRI) of Head/Neck Subcutaneous Tissue using Other Contrast, Unenhanced and Enhanced","BH3DY0Z","ICD10PCS"
