concept_id,concept_name,concept_code,vocabulary_id
2008237,Other transfusion of whole blood,99.03,ICD9Proc
2788972,"Transfusion of Autologous Red Blood Cells into Central Vein, Percutaneous Approach",30243N0,ICD10PCS
2788716,"Transfusion of Autologous Red Blood Cells into Peripheral Vein, Percutaneous Approach",30233N0,ICD10PCS
2788962,"Transfusion of Autologous Whole Blood into Central Vein, Percutaneous Approach",30243H0,ICD10PCS
2788706,"Transfusion of Autologous Whole Blood into Peripheral Vein, Percutaneous Approach",30233H0,ICD10PCS
4024656,Transfusion of blood product,116859006,SNOMED
2789477,"Transfusion of Nonautologous Red Blood Cells into Central Artery, Percutaneous Approach (Deprecated)",30263N1,ICD10PCS
2788940,"Transfusion of Nonautologous Red Blood Cells into Central Vein, Open Approach",30240N1,ICD10PCS
2788973,"Transfusion of Nonautologous Red Blood Cells into Central Vein, Percutaneous Approach",30243N1,ICD10PCS
2789224,"Transfusion of Nonautologous Red Blood Cells into Peripheral Artery, Percutaneous Approach (Deprecated)",30253N1,ICD10PCS
2788684,"Transfusion of Nonautologous Red Blood Cells into Peripheral Vein, Open Approach",30230N1,ICD10PCS
2788717,"Transfusion of Nonautologous Red Blood Cells into Peripheral Vein, Percutaneous Approach",30233N1,ICD10PCS
2785930,"Transfusion of Nonautologous Red Blood Cells into Products of Conception, Circulatory, Percutaneous Approach",30273N1,ICD10PCS
2788963,"Transfusion of Nonautologous Whole Blood into Central Vein, Percutaneous Approach",30243H1,ICD10PCS
2788674,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Open Approach",30230H1,ICD10PCS
2788707,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Percutaneous Approach",30233H1,ICD10PCS
2008236,Transfusion of previously collected autologous blood,99.02,ICD9Proc
