code,codetype,descrip,category
2644768,PR00,"{9 (insulin, regular, human 12 UNT Inhalation Powder) / 9 (insulin, regular, human 4 UNT Inhalation Powder) / 9 (insulin, regular, human 8 UNT Inhalation Powder) } Pack",insulin
2644769,PR00,"{9 (insulin, regular, human 12 UNT Inhalation Powder [Afrezza]) / 9 (insulin, regular, human 4 UNT Inhalation Powder [Afrezza]) / 9 (insulin, regular, human 8 UNT Inhalation Powder [Afrezza]) } Pack [Afrezza Sample Pack]",insulin
2108525,PR00,"insulin, regular, human Inhalation Powder",insulin
2108527,PR00,"insulin, regular, human Inhalation Powder [Afrezza]",insulin
2179742,PR00,"insulin, regular, human 1 UNT/ML",insulin
2179743,PR00,"insulin, regular, human Injection",insulin
2179746,PR00,"insulin, regular, human 1 UNT/ML [Myxredlin]",insulin
2179747,PR00,"insulin, regular, human Injection [Myxredlin]",insulin
2179748,PR00,Myxredlin Injectable Product,insulin
2179750,PR00,"insulin, regular, human 1 UNT/ML Injection",insulin
2179751,PR00,"insulin, regular, human 1 UNT/ML Injection [Myxredlin]",insulin
2179744,PR00,"100 ML insulin, regular, human 1 UNT/ML Injection",insulin
2179749,PR00,"100 ML insulin, regular, human 1 UNT/ML Injection [Myxredlin]",insulin
2049379,PR00,"insulin isophane / insulin, regular, human Pen Injector [Novolin]",insulin
2049381,PR00,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector [Novolin]",insulin
2049380,PR00,"3 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector [Novolin]",insulin
213442,PR00,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Novolin]",insulin
245264,PR00,"insulin isophane, human 85 UNT/ML / insulin, regular, human 15 UNT/ML Injectable Suspension",insulin
245265,PR00,"insulin isophane, human 50 UNT/ML / insulin, regular, human 50 UNT/ML Injectable Suspension",insulin
247511,PR00,"insulin isophane, human 90 UNT/ML / insulin, regular, human 10 UNT/ML Injectable Suspension",insulin
247512,PR00,"insulin isophane, human 80 UNT/ML / insulin, regular, human 20 UNT/ML Injectable Suspension",insulin
247513,PR00,"insulin isophane, human 60 UNT/ML / insulin, regular, human 40 UNT/ML Injectable Suspension",insulin
847187,PR00,"3 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector",insulin
847189,PR00,"3 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Pen Injector [Humulin]",insulin
847256,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe",insulin
847257,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe [Novolin]",insulin
847343,PR00,"1.5 ML insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe [Humulin]",insulin
253182,PR00,"insulin, regular, human",insulin
