code,codetype,descrip,ingredient
1551293,PR00,dulaglutide Injectable Product,dulaglutide
1551299,PR00,Trulicity Injectable Product,dulaglutide
2395776,PR00,dulaglutide 6 MG/ML,dulaglutide
2395778,PR00,dulaglutide 6 MG/ML [Trulicity],dulaglutide
2395780,PR00,dulaglutide 6 MG/ML Auto-Injector,dulaglutide
2395781,PR00,dulaglutide 6 MG/ML Auto-Injector [Trulicity],dulaglutide
2395782,PR00,dulaglutide 9 MG/ML,dulaglutide
2395784,PR00,dulaglutide 9 MG/ML [Trulicity],dulaglutide
2395786,PR00,dulaglutide 9 MG/ML Auto-Injector,dulaglutide
2395787,PR00,dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide
2395777,PR00,0.5 ML dulaglutide 6 MG/ML Auto-Injector,dulaglutide
2395779,PR00,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],dulaglutide
2395783,PR00,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide
2395785,PR00,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide
1551291,PR00,dulaglutide,dulaglutide
1551292,PR00,dulaglutide 1.5 MG/ML,dulaglutide
1551295,PR00,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide
1551297,PR00,dulaglutide 1.5 MG/ML [Trulicity],dulaglutide
1551300,PR00,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide
1551301,PR00,dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide
1551302,PR00,dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide
1551303,PR00,dulaglutide 3 MG/ML,dulaglutide
1551304,PR00,0.5 ML dulaglutide 3 MG/ML Auto-Injector,dulaglutide
1551305,PR00,dulaglutide 3 MG/ML [Trulicity],dulaglutide
1551306,PR00,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],dulaglutide
1551307,PR00,dulaglutide 3 MG/ML Auto-Injector,dulaglutide
1551308,PR00,dulaglutide 3 MG/ML Auto-Injector [Trulicity],dulaglutide
1649584,PR00,dulaglutide Auto-Injector,dulaglutide
1649586,PR00,dulaglutide Auto-Injector [Trulicity],dulaglutide
1990864,PR00,exenatide 2.35 MG/ML,exenatide
1990865,PR00,exenatide Auto-Injector,exenatide
1990866,PR00,0.85 ML exenatide 2.35 MG/ML Auto-Injector,exenatide
1990867,PR00,exenatide 2.35 MG/ML [Bydureon],exenatide
1990868,PR00,exenatide Auto-Injector [Bydureon],exenatide
1990869,PR00,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],exenatide
1990870,PR00,exenatide 2.35 MG/ML Auto-Injector,exenatide
1990871,PR00,exenatide 2.35 MG/ML Auto-Injector [Bydureon],exenatide
60548,PR00,exenatide,exenatide
847913,PR00,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],exenatide
847914,PR00,exenatide 0.005 MG/ACTUAT,exenatide
847915,PR00,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector,exenatide
847917,PR00,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],exenatide
847911,PR00,exenatide 0.01 MG/ACTUAT [Byetta],exenatide
847916,PR00,exenatide 0.005 MG/ACTUAT [Byetta],exenatide
