code,codetype,descrip
298869,MA00,eplerenone
298869,PR00,eplerenone
353388,MA00,eplerenone 100 MG
353388,PR00,eplerenone 100 MG
25173001,MA11,eplerenone 100 MG Oral Tablet
25173001,RX11,eplerenone 100 MG Oral Tablet
25173002,MA11,eplerenone 100 MG Oral Tablet
25173002,RX11,eplerenone 100 MG Oral Tablet
25173003,MA11,eplerenone 100 MG Oral Tablet
25173003,RX11,eplerenone 100 MG Oral Tablet
351258,MA00,eplerenone 100 MG Oral Tablet
351258,PR00,eplerenone 100 MG Oral Tablet
353386,MA00,eplerenone 25 MG
353386,PR00,eplerenone 25 MG
576108,MA00,eplerenone 25 MG [Inspra]
576108,PR00,eplerenone 25 MG [Inspra]
25171001,MA11,eplerenone 25 MG Oral Tablet
25171001,RX11,eplerenone 25 MG Oral Tablet
25171002,MA11,eplerenone 25 MG Oral Tablet
25171002,RX11,eplerenone 25 MG Oral Tablet
25171003,MA11,eplerenone 25 MG Oral Tablet
25171003,RX11,eplerenone 25 MG Oral Tablet
25171096,MA11,eplerenone 25 MG Oral Tablet
25171096,RX11,eplerenone 25 MG Oral Tablet
185536809,MA11,eplerenone 25 MG Oral Tablet
185536809,RX11,eplerenone 25 MG Oral Tablet
185536830,MA11,eplerenone 25 MG Oral Tablet
185536830,RX11,eplerenone 25 MG Oral Tablet
378103005,MA11,eplerenone 25 MG Oral Tablet
378103005,RX11,eplerenone 25 MG Oral Tablet
378103010,MA11,eplerenone 25 MG Oral Tablet
378103010,RX11,eplerenone 25 MG Oral Tablet
378103077,MA11,eplerenone 25 MG Oral Tablet
378103077,RX11,eplerenone 25 MG Oral Tablet
378103093,MA11,eplerenone 25 MG Oral Tablet
378103093,RX11,eplerenone 25 MG Oral Tablet
832048030,MA11,eplerenone 25 MG Oral Tablet
832048030,RX11,eplerenone 25 MG Oral Tablet
832048090,MA11,eplerenone 25 MG Oral Tablet
832048090,RX11,eplerenone 25 MG Oral Tablet
16571017303,MA11,eplerenone 25 MG Oral Tablet
16571017303,RX11,eplerenone 25 MG Oral Tablet
16571017309,MA11,eplerenone 25 MG Oral Tablet
16571017309,RX11,eplerenone 25 MG Oral Tablet
16729029310,MA11,eplerenone 25 MG Oral Tablet
16729029310,RX11,eplerenone 25 MG Oral Tablet
16729029315,MA11,eplerenone 25 MG Oral Tablet
16729029315,RX11,eplerenone 25 MG Oral Tablet
16729029316,MA11,eplerenone 25 MG Oral Tablet
16729029316,RX11,eplerenone 25 MG Oral Tablet
16729029317,MA11,eplerenone 25 MG Oral Tablet
16729029317,RX11,eplerenone 25 MG Oral Tablet
16729029382,MA11,eplerenone 25 MG Oral Tablet
16729029382,RX11,eplerenone 25 MG Oral Tablet
31722004930,MA11,eplerenone 25 MG Oral Tablet
31722004930,RX11,eplerenone 25 MG Oral Tablet
31722004990,MA11,eplerenone 25 MG Oral Tablet
31722004990,RX11,eplerenone 25 MG Oral Tablet
351256,MA00,eplerenone 25 MG Oral Tablet
351256,PR00,eplerenone 25 MG Oral Tablet
42254042230,MA11,eplerenone 25 MG Oral Tablet
42254042230,RX11,eplerenone 25 MG Oral Tablet
42291045430,MA11,eplerenone 25 MG Oral Tablet
42291045430,RX11,eplerenone 25 MG Oral Tablet
42291045490,MA11,eplerenone 25 MG Oral Tablet
42291045490,RX11,eplerenone 25 MG Oral Tablet
49856265103,MA11,eplerenone 25 MG Oral Tablet
49856265103,RX11,eplerenone 25 MG Oral Tablet
49856265105,MA11,eplerenone 25 MG Oral Tablet
49856265105,RX11,eplerenone 25 MG Oral Tablet
49856265107,MA11,eplerenone 25 MG Oral Tablet
49856265107,RX11,eplerenone 25 MG Oral Tablet
49856265108,MA11,eplerenone 25 MG Oral Tablet
49856265108,RX11,eplerenone 25 MG Oral Tablet
49856265109,MA11,eplerenone 25 MG Oral Tablet
49856265109,RX11,eplerenone 25 MG Oral Tablet
51991087711,MA11,eplerenone 25 MG Oral Tablet
51991087711,RX11,eplerenone 25 MG Oral Tablet
51991087733,MA11,eplerenone 25 MG Oral Tablet
51991087733,RX11,eplerenone 25 MG Oral Tablet
51991087790,MA11,eplerenone 25 MG Oral Tablet
51991087790,RX11,eplerenone 25 MG Oral Tablet
51991087799,MA11,eplerenone 25 MG Oral Tablet
51991087799,RX11,eplerenone 25 MG Oral Tablet
54868606500,MA11,eplerenone 25 MG Oral Tablet
54868606500,RX11,eplerenone 25 MG Oral Tablet
54868606501,MA11,eplerenone 25 MG Oral Tablet
